name,position,team,height,weight,college,points_total,points_average,points_variance,pass_td,pass_2pt,pass_yards,pass_interceptions,rush_td,rush_2pt,rush_yards,receiving_td,receiving_2pt,receiving_yards,receiving_receptions,punting_inside_10,punting_inside_20,punting_fair_catches,punting_touchbacks,punting_blocked,punting_td_returned
"Amos, Anthony",WR,Arizona Hotshots,11-May,190 LBS,Middle Tennessee State,9.82,9.82,9.64,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
"Bundy, Marquis",WR,Arizona Hotshots,4-Jun,220 LBS,New Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Christian, Gerald",TE,Arizona Hotshots,3-Jun,250 LBS,Louisville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cook, Tim",RB,Arizona Hotshots,Jun-00,245 LBS,Oregon State,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Crockett, John",RB,Arizona Hotshots,Jun-00,215 LBS,North Dakota State,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Duarte, Thomas",TE,Arizona Hotshots,2-Jun,240 LBS,UCLA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fauria, Joseph",TE,Arizona Hotshots,7-Jun,260 LBS,UCLA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hamlett, Connor",TE,Arizona Hotshots,7-Jun,260 LBS,Oregon State,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Heneghan, Jack",QB,Arizona Hotshots,4-Jun,230 LBS,Dartmouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Holliman, Deion",WR,Arizona Hotshots,9-May,190 LBS,Missouri State,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Huff, Josh",WR,Arizona Hotshots,11-May,205 LBS,Oregon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Knight, Trevor",QB,Arizona Hotshots,1-Jun,215 LBS,Texas A&M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lucien, Devin",WR,Arizona Hotshots,2-Jun,200 LBS,Arizona State,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"McQueary, Quinn",QB,Arizona Hotshots,3-Jun,200 LBS,Montana Tech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mullaney, Richard",WR,Arizona Hotshots,2-Jun,205 LBS,Oregon State,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pressley, Jhurell",RB,Arizona Hotshots,11-May,200 LBS,New Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rose, Larry",RB,Arizona Hotshots,11-May,195 LBS,New Mexico State,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ross, Rashad",WR,Arizona Hotshots,Jun-00,180 LBS,Arizona State,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Shonola, Prince",WR,Arizona Hotshots,9-May,170 LBS,Rocky Mountain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Stockton, Justin",RB,Arizona Hotshots,,,Texas Tech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
