name,position,team,height,weight,college
Arizona Hotshots,D/ST,Arizona Hotshots,,,
Atlanta Legends,D/ST,Atlanta Legends,,,
Birmingham Iron,D/ST,Birmingham Iron,,,
Memphis Express,D/ST,Memphis Express,,,
Orlando Apollos,D/ST,Orlando Apollos,,,
Salt Lake Stallions,D/ST,Salt Lake Stallions,,,
San Antonio Commanders,D/ST,San Antonio Commanders,,,
San Diego Fleet,D/ST,San Diego Fleet,,,
"Amos, Anthony",WR,Arizona Hotshots,5-11,190 LBS,Middle Tennessee State
"Bundy, Marquis",WR,Arizona Hotshots,6-4,220 LBS,New Mexico
"Christian, Gerald",TE,Arizona Hotshots,6-3,250 LBS,Louisville
"Cook, Tim",RB,Arizona Hotshots,6-1,245 LBS,Oregon State
"Crockett, John",RB,Arizona Hotshots,6-1,215 LBS,North Dakota State
"Duarte, Thomas",TE,Arizona Hotshots,6-2,240 LBS,UCLA
"Fauria, Joseph",TE,Arizona Hotshots,6-7,260 LBS,UCLA
"Hamlett, Connor",TE,Arizona Hotshots,6-7,260 LBS,Oregon State
"Heneghan, Jack",QB,Arizona Hotshots,6-4,230 LBS,Dartmouth
"Holliman, Deion",WR,Arizona Hotshots,5-9,190 LBS,Missouri State
"Huff, Josh",WR,Arizona Hotshots,5-11,205 LBS,Oregon
"Knight, Trevor",QB,Arizona Hotshots,6-1,215 LBS,Texas A&M
"Lucien, Devin",WR,Arizona Hotshots,6-2,200 LBS,Arizona State
"McQueary, Quinn",QB,Arizona Hotshots,6-3,200 LBS,Montana Tech
"Mullaney, Richard",WR,Arizona Hotshots,6-2,205 LBS,Oregon State
"Pressley, Jhurell",RB,Arizona Hotshots,5-11,200 LBS,New Mexico
"Rose, Larry",RB,Arizona Hotshots,5-11,195 LBS,New Mexico State
"Ross, Rashad",WR,Arizona Hotshots,6-1,180 LBS,Arizona State
"Shonola, Prince",WR,Arizona Hotshots,5-9,170 LBS,Rocky Mountain
"Stockton, Justin",RB,Arizona Hotshots,,,Texas Tech
"Villamin, Jordan",WR,Arizona Hotshots,6-5,225 LBS,Oregon State
"Walker, Kenneth III",WR,Arizona Hotshots,5-10,190 LBS,UCLA
"Ward, Terron",RB,Arizona Hotshots,5-7,200 LBS,Oregon State
"Williams, Bryce",TE,Arizona Hotshots,6-6,260 LBS,East Carolina
"Willis, Corey",WR,Arizona Hotshots,5-10,185 LBS,Central Michigan
"Wolford, John",QB,Arizona Hotshots,6-1,200 LBS,Wake Forest
"Caskin, Andrew",TE,Atlanta Legends,6-5,248 LBS,WIlliam & Mary
"Clark, James",WR,Atlanta Legends,5-10,185 LBS,Virginia Tech
"Duke, Austin",WR,Atlanta Legends,5-10,170 LBS,Charlotte
"Folston, Tarean",RB,Atlanta Legends,5-10,210 LBS,Notre Dame
"Garrett, Keyarris",WR,Atlanta Legends,6-4,198 LBS,Tulsa
"Hill, Stephen",WR,Atlanta Legends,6-5,210 LBS,Georgia Tech
"Holman, Justin",QB,Atlanta Legends,6-4,218 LBS,UCF
"Howard, Bug",WR,Atlanta Legends,6-5,229 LBS,North Carolina
"Hudson, Garrett",TE,Atlanta Legends,6-4,240 LBS,Richmond
"Jones, Malachi",WR,Atlanta Legends,6-2,206 LBS,Appalachian State
"Jones, Seantavius",WR,Atlanta Legends,6-4,217 LBS,Valdosta State
"Maddaluna III, John",WR,Atlanta Legends,6-1,175 LBS,Colgate
"Marvin, David",K/P,Atlanta Legends,6-1,217 LBS,Wofford
"O’Malley, Ryan",TE,Atlanta Legends,6-6,260 LBS,Penn
"Murray, Aaron",QB,Atlanta Legends,6-1,202 LBS,Georgia
"Pelletier, Troy",WR,Atlanta Legends,6-3,220 LBS,Lehigh
"Philips, Ervin",WR,Atlanta Legends,5-11,180 LBS,Syracuse
"Pittman, Lawrence",RB,Atlanta Legends,5-11,220 LBS,Wingate
"Pujals, Peter",QB,Atlanta Legends,6-2,211 LBS,Holy Cross
"Quick, James",WR,Atlanta Legends,6-1,167 LBS,Louisville
"Robinson, Denard",RB,Atlanta Legends,6-1,213 LBS,Michigan
"Simms, Matt",QB,Atlanta Legends,6-3,210 LBS,Tennessee
"Standberry Jr., Charles",TE,Atlanta Legends,6-3,243 LBS,Louisville
"Thomas, Justin",WR,Atlanta Legends,5-11,190 LBS,Georgia Tech
"Tillery, Leanard",RB,Atlanta Legends,5-10,205 LBS,Southern University
"Westerkamp, Jordan",WR,Atlanta Legends,6-1,194 LBS,Nebraska
"Anderson, Busta",TE,Birmingham Iron,6-5,236 LBS,South Carolina
"Anderson, Ryan",P,Birmingham Iron,6-1,200 LBS,Rutgers
"Black, Chris",WR,Birmingham Iron,6-1,186 LBS,Alabama
"Bowman, Braedon",TE,Birmingham Iron,6-4,237 LBS,South Alabama
"Bramswig, Jack",WR,Birmingham Iron,6-5,230 LBS,Boston College
"Bray, Quan",WR,Birmingham Iron,5-10,185 LBS,Auburn
"Carlisle, Amir",WR,Birmingham Iron,5-10,194 LBS,Notre Dame
"Coprich, Marshaun",RB,Birmingham Iron,5-8,205 LBS,Illinois State
"Davis, Connor",TE,Birmingham Iron,6-8,265 LBS,Stony Brook
"Felton, Devozea",WR,Birmingham Iron,5-6,154 LBS,Tuskegee
"Isaac, Ty",RB,Birmingham Iron,6-3,235 LBS,Michigan
"McDade, Marcus",QB,Birmingham Iron,6-3,220 LBS,Sacramento State
"Novak, Nick",K,Birmingham Iron,5-11,203 LBS,Maryland
"Outlaw, Lonnie",WR,Birmingham Iron,6-7,223 LBS,Miles
"Palmer, Tobais",WR,Birmingham Iron,5-10,200 LBS,North Carolina State
"Perez, Luis",QB,Birmingham Iron,6-3,223 LBS,Texas A&M-Commerce
"Perkins, Ladarius",RB,Birmingham Iron,5-8,209 LBS,Mississippi State
"Richardson, Trent",RB,Birmingham Iron,5-10,230 LBS,Alabama
"Robinson, Jamal",WR,Birmingham Iron,6-2,204 LBS,Louisiana-Lafayette
"Ross, Brandon",RB,Birmingham Iron,5-11,206 LBS,Maryland
"Saunders, Weslye",TE,Birmingham Iron,,,South Carolina
"Saxton Jr., Wes",TE,Birmingham Iron,6-4,252 LBS,South Alabama
"Schmidt, Colton",P,Birmingham Iron,,,California-Davis
